발주기관,건수,평균리드점수,기대매출합(원),주력업종,주력지역
국토교통부 대전지방국토관리청 예산국토관리사무소,6,75.5,1170000,토목공사,
광주광역시 광산구,5,78.0,1056000,기타,광주광역시
국토교통부 익산지방국토관리청 광주국토관리사무소,5,77.0,960000,토목공사,
대구광역시 군위군,5,75.0,960000,기타,대구광역시
사단법인 수생태보전협의회,4,75.0,768000,기타,전라남도
중소기업은행,4,75.2,702000,전기공사,경상남도
충청남도 예산군,4,75.2,702000,토목공사,충청남도
경상북도 청도군,4,75.0,636000,토목공사,경상북도
서울특별시 송파구,3,78.3,702000,토목공사,서울특별시
충청남도 공주시,3,79.0,576000,토목공사,충청남도
전라남도 장흥군,3,78.0,576000,토목공사,전라남도
경상북도 상주시,3,76.7,576000,기타,경상북도
경상북도 구미시,3,76.3,510000,토목공사,경상북도
울산광역시,3,75.3,510000,조경공사,울산광역시
경상남도 거제시,3,74.7,510000,전기공사,경상남도
대구광역시 달성군,3,70.0,462000,토목공사,대구광역시
경상북도 경주시,3,72.7,444000,정보통신공사,경상북도
서울교통공사,2,79.5,480000,전기공사,서울특별시
전라남도 진도군,2,77.5,384000,전기공사,전라남도
경기도 김포시,2,77.5,384000,전기공사,경기도
전북특별자치도 김제시,2,78.5,384000,토목공사,전북특별자치도
과학기술정보통신부 국립전파연구원,2,77.0,384000,전기공사,
경기도 용인시,2,76.0,384000,건축공사,경기도
경기도 파주시,2,75.0,384000,기타,경기도
대구공공시설관리공단 성서사업처,2,75.0,384000,기타,대구광역시
한국농어촌공사 전북지역본부 군산지사,2,74.5,318000,전기공사,전북특별자치도
경상남도 진주시,2,74.5,318000,전기공사,경상남도
서울특별시,2,74.0,318000,건축공사,
충청북도 청주시,2,69.0,252000,건축공사,충청북도
전북특별자치도교육청 전북특별자치도무주교육지원청,1,82.0,288000,전기공사,전북특별자치도
한국원자력연구원,1,82.0,288000,정보통신공사,대전광역시
광주광역시 북구,1,68.0,210000,건축공사,광주광역시
인천광역시 연수구,1,80.0,192000,조경공사,인천광역시
인천광역시 강화군,1,80.0,192000,토목공사,인천광역시
전북특별자치도 전주시,1,80.0,192000,전기공사,전북특별자치도
경기도 평택시 상하수도사업소,1,80.0,192000,소방공사,경기도
서울시설공단,1,80.0,192000,소방공사,서울특별시
경상북도 문경시 호계면,1,80.0,192000,토목공사,경상북도
경기도 오산시,1,80.0,192000,전기공사,경기도
경기도 하남시,1,80.0,192000,토목공사,경기도
광주광역시 남구,1,80.0,192000,토목공사,광주광역시
경기도 포천시 안전도시국 상하수과,1,80.0,192000,전기공사,경기도
전라남도 순천시,1,80.0,192000,정보통신공사,전라남도
한국농어촌공사 강원지역본부 홍천.춘천지사,1,80.0,192000,전기공사,강원특별자치도
대전광역시 동구,1,80.0,192000,전기공사,대전광역시
경상남도 창녕군,1,80.0,192000,토목공사,경상남도
경상남도 거창군 농업기술센터,1,80.0,192000,건축공사,경상남도
강원특별자치도 강릉시 농업기술센터,1,80.0,192000,토목공사,강원특별자치도
부산광역시 기장군,1,80.0,192000,조경공사,부산광역시
경기도 평택시,1,80.0,192000,조경공사,경기도
헌법재판소,1,80.0,192000,건축공사,서울특별시
대전광역시,1,77.0,192000,토목공사,
경상북도 의성군,1,77.0,192000,기타,경상북도
산림청 서부지방산림청 순천국유림관리소,1,77.0,192000,기타,전라남도
서울특별시 마포구,1,77.0,192000,기타,서울특별시
강원특별자치도교육청 강원특별자치도인제교육지원청,1,77.0,192000,전기공사,
국토교통부 원주지방국토관리청,1,77.0,192000,토목공사,
경기도 화성시 병점구,1,77.0,192000,기타,경기도
국방과학연구소,1,77.0,192000,소방공사,
(주)엑스코,1,77.0,192000,소방공사,
전라남도교육청,1,77.0,192000,건축공사,
부산광역시 금정구,1,77.0,192000,토목공사,부산광역시
강원특별자치도 속초시,1,77.0,192000,전기공사,강원특별자치도
전라남도 장성군,1,77.0,192000,정보통신공사,전라남도
경상북도 칠곡군,1,77.0,192000,토목공사,경상북도
국가보훈부 국립대전현충원,1,77.0,192000,조경공사,대전광역시
사랑의집 에덴,1,77.0,192000,소방공사,충청남도
충청북도 청주시 서원구,1,77.0,192000,전기공사,충청북도
서울특별시 광진소방서,1,77.0,192000,소방공사,서울특별시
한성백제박물관,1,77.0,192000,조경공사,서울특별시
광주광역시 상수도사업본부 용연정수사업소,1,77.0,192000,전기공사,전라남도
인천광역시 상수도사업본부,1,75.0,192000,기타,인천광역시
서울물재생시설공단,1,75.0,192000,기타,서울특별시
충청북도 청주시 청원구,1,75.0,192000,기타,충청북도
경기도 부천시,1,75.0,192000,기타,경기도
전라남도교육청 여수정보과학고등학교,1,75.0,192000,기타,전라남도
전북특별자치도 전주시 완산구,1,75.0,192000,기타,전북특별자치도
울산광역시 동구,1,75.0,192000,기타,울산광역시
충청남도 천안시,1,75.0,192000,기타,충청남도
채비(주),1,75.0,192000,기타,경기도
충청남도 논산시,1,75.0,192000,기타,충청남도
국토교통부 부산지방국토관리청 영주국토관리사무소,1,71.0,126000,토목공사,경상북도
충청남도 보령시,1,71.0,126000,전기공사,충청남도
서울특별시 구로구,1,71.0,126000,전기공사,서울특별시
경상북도교육청 경상북도포항교육지원청,1,71.0,126000,소방공사,경상북도
국립공원공단 중부지역본부,1,71.0,126000,전기공사,충청남도
경기도 광명시,1,69.0,126000,건축공사,경기도
소방청 중앙소방학교,1,69.0,126000,소방공사,충청남도
경기도 안성시,1,69.0,126000,정보통신공사,경기도
한국폴리텍II대학 화성캠퍼스,1,69.0,126000,소방공사,경기도
전라남도 영암군 보건소,1,69.0,126000,전기공사,전라남도
